sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P19	G4	4	4-Mar-03	9	lactating	45	-0.72	25-Mar-12	2012	141.83	Yes	Yes	No
P190	D3	3	7-Nov-92	7.75	pregnant	10	-0.20	24-Aug-00	2000	39.50	Yes	Yes	Yes
P191	D3	3	7-Nov-92	7.83	pregnant	10	-0.20	25-Sep-00	2000	147.25	Yes	Yes	Yes
P192	G4	4	4-Mar-03	11.58	other	40	-0.73	20-Oct-14	2014	125.67	Yes	Yes	No
P193	G4	4	4-Mar-03	6.17	other	18	-0.61	29-May-09	2009	NA	No	No	No
P194	D3	3	7-Nov-92	11.92	pregnant	14	-0.73	16-Oct-04	2004	77.17	Yes	Yes	No
P195	G1	1	20-Mar-01	2.42	nulliparous	2	0.88	18-Sep-03	2003	279.00	Yes	Yes	No
P196	G1	1	20-Mar-01	12.33	lactating	15	0.40	26-Jul-13	2013	313.50	Yes	Yes	Yes
P197	D2	2	28-Jun-03	6.17	lactating	14	-0.23	2-Sep-09	2009	153.00	Yes	Yes	No
P198	M4	4	1-Mar-87	10.58	pregnant	19	-0.28	16-Oct-97	1997	133.17	Yes	Yes	No
P199	D1	1	25-Jun-96	2.75	lactating	2	0.93	19-Apr-99	1999	265.00	Yes	Yes	No
P2	D3	3	7-Nov-92	4.33	lactating	15	0.00	17-Mar-97	1997	222.33	Yes	Yes	No
P20	M3	3	1-Feb-85	9.08	lactating	7	0.47	23-Mar-94	1994	196.00	Yes	Yes	No
P200	G2	2	20-Jul-08	4.83	lactating	31	-0.27	6-Jun-13	2013	434.00	Yes	Yes	No
P201	D2	2	28-Jun-03	6.75	lactating	21	-0.42	16-Apr-10	2010	246.17	Yes	Yes	No
P202	D1	1	25-Jun-96	9.92	lactating	1	1.00	18-Jun-06	2006	108.67	Yes	Yes	No
P203	M4	4	1-Mar-87	7.75	pregnant	11	0.13	6-Dec-94	1994	161.75	Yes	Yes	No
P204	M1	1	1-Jan-83	15.92	pregnant	1	1.00	5-Dec-98	1998	188.00	No	Yes	No
P205	G4	4	4-Mar-03	11.08	lactating	40	-0.73	17-Apr-14	2014	89.80	Yes	Yes	No
P206	M4	4	1-Mar-87	8.58	lactating	17	-0.10	27-Oct-95	1995	30.00	Yes	Yes	No
P207	G1	1	20-Mar-01	4	lactating	4	0.66	30-Mar-05	2005	32.50	Yes	Yes	No
