Genome	D1_P102_M Relative Abundance (%)	D1_P107_M Relative Abundance (%)	D1_P167_M Relative Abundance (%)	D1_P225_M Relative Abundance (%)	D1_P295_M Relative Abundance (%)	D1_P304_M Relative Abundance (%)	D1_P46_M Relative Abundance (%)	D1_P47_M Relative Abundance (%)	D3_P186_M Relative Abundance (%)	D3_P190_M Relative Abundance (%)	D3_P191_M Relative Abundance (%)	D3_P265_M Relative Abundance (%)	D3_P266_M Relative Abundance (%)	D3_P41_M Relative Abundance (%)	D3_P75_M Relative Abundance (%)	D3_P9_M Relative Abundance (%)	G1_P178_M Relative Abundance (%)	G1_P196_M Relative Abundance (%)	G1_P276_M Relative Abundance (%)	G1_P291_M Relative Abundance (%)	G1_P294_M Relative Abundance (%)	G1_P43_M Relative Abundance (%)	G1_P74_M Relative Abundance (%)	G1_P82_M Relative Abundance (%)	G3_P143_M Relative Abundance (%)	G3_P149_M Relative Abundance (%)	G3_P14_M Relative Abundance (%)	G3_P179_M Relative Abundance (%)	G3_P212_M Relative Abundance (%)	G3_P261_M Relative Abundance (%)	G3_P301_M Relative Abundance (%)	G3_P84_M Relative Abundance (%)
D3_bin.69	0.012042009	0.0031691687	0.026147915	0.002648127	0.0014137196	0.00065819005	0.0018908448	0.073303536	0.007625966	0.42849556	0.068520345	0.016459407	0.03964273	0.18997307	0.097451285	0.13395745	0.0017919893	0.13185139	0.018606303	0.021304695	0.09096664	0.0073561454	0.0036871722	0.0028253887	0.006725482	0.031377293	0.008527326	0.0029087437	0.0045297965	0.05929467	0.0012155042	0.0046880967
D3_bin.70	0.000038452607	0.0221202	0.000002242289	0.000031099513	0.00006015258	0.000028295111	0.000635824	0.00008331603	0.006963992	0.00019312267	0.00022733823	0.0011673075	0.000010186381	0.0002302633	0.00008694915	0.25700074	0.00020708055	0.000010435314	0.0000018054001	0.000052506814	0.00016976467	0.00031953465	0.000094819334	0.0003240241	0.0000045173515	0.0000055041173	0.00021257983	0.0000035780733	0.000015532281	0.0003337929	0.000013152869	0.000026860793
D3_bin.71	0.000008252946	0.0005476455	0.000052888623	0.0000051133375	0.0005567277	0.000001107943	0	0.0004859533	0.000010546409	0.00010315447	0.0019881714	0.000005916242	0.00009741594	0.31396815	0.000008865048	0.00016813657	0.0000053572326	0.000039214938	0.0014426706	0.0005627623	0.00019584908	0	0.0014024293	0.0000039692673	0.000003221216	0.00036709046	0.000008192986	0.000058067155	0.000097788434	0.000018811337	0	0.00046083404
D3_bin.72	0.000019564603	0.000046240402	0.000030069721	0.00008940156	0.00009013184	0.00017490283	0.0001553901	0.00039811383	0.0010528109	0.017522272	0.00034825536	0.00027944482	0.000997314	0.00056147244	0.32094744	0.04723048	0.00014322472	0.00007475747	0.000055914585	0.00015305636	0.00012584253	0.00056353206	0.00016728629	0.00038870444	0.00012444738	0.0005765801	0.00022814899	0.00023385922	0.00051129016	0.00028472865	0.00073089823	0.00011789675
D3_bin.73	0.0050255274	0.004256025	0.05269966	0.0005721527	0.00025997913	0.00019461957	0.0014358426	0.0038051738	0.03203568	0.0018468316	0.00023760131	1.820398	0.00054993446	0.0023760905	0.022617046	0.55865735	0.00007656422	0.0024465763	0.00601866	0.00012811714	0.0050602932	0.0018374849	0.01967735	0.0017391691	0.0047790096	0.000284806	0.0050689327	0.00007044294	0.00006607006	0.0009364409	0.00022382861	0.0031011142
D3_bin.74	0.000051486917	0.000052597527	0.0016556125	0.000015916537	0	0.000057640573	0.000492689	0.00043254136	0.0025630104	0.0019204303	0.00018775213	0.0009880821	0.000022391181	0.0009091124	0.00019543337	0.25814128	0.00001977247	0.000032132873	0.0006139408	0.0000036701158	0.000049483886	0.0003323805	0.000105776075	0.00033216592	0.00004609868	0.000069067886	0.000104812105	0.000019666732	0.00001546655	0.0003221594	0.00006281261	0.0010625294
D3_bin.75	0.64913464	0.06321891	0.012381529	0.15273754	0.29219535	0.2825268	0.08509068	0.16616905	0.3822113	0.091410525	0.44686764	0.0073657283	0.07472075	0.085047394	0.07356907	0.011922434	0.9743653	0.76758313	0.002760623	0.027477942	0.777755	0.09108952	0.13504623	0.0800862	0.08550887	0.03555471	0.1787817	0.14321482	2.0528858	0.10896255	0.06515848	0.056784578
D3_bin.76	0.00006991911	0.00475783	0.0075181862	0.00002621103	0.00053353637	0.00466091	0.0012757136	0.0007052608	0.62289613	0.000034250705	0.000007831937	0.005773882	0.0016129249	0.28504196	0.0014001006	0.15994014	0.000013283085	0.0000772016	0.0005333885	0.00048034964	0.0000031944926	0.000240139	0.0064171944	0.00024070225	0.000027677163	0.0000069541024	0.0000074348604	0.0000015838777	0.000021686314	0.0010031338	0.000026780888	0.0012309491
D3_bin.78	0.0010434052	0.00065551983	0.0012045398	0.032000944	0.001529377	0.013273395	0.01190276	0.0033042075	0.12308059	0.002105347	0.082444504	0.02241468	0.5438913	0.007476968	0.021895444	0.010225368	0.028306471	0.03950927	0.0009977223	0.0022298014	0.0011155903	0.0017845778	0.043631386	0.0035758156	0.010932476	0.00026025707	0.00042406574	0.0021825049	0.092553005	0.00044983692	0.0003585685	0.05918881
D3_bin.79	0.008699882	0.012020976	0.002062294	0.091257796	0.40415892	0.101516254	0.13140695	0.0027053815	0.0915817	0.03259794	0.11310062	0.0028457693	0.40523484	0.00808064	0.0041552326	0.06581738	0.022435278	0.20810558	0.023551349	0.02180154	0.012240251	0.0346268	0.016827911	0.024816722	0.05280245	0.12658031	0.15954246	0.002759588	0.11010468	0.012419469	0.033539753	0.020329872
D3_bin.7	0.0010036512	0.0056246193	0.00081117725	0.000017703884	0.000042190433	0.0050899917	0.00020985235	0.0072750268	0.044458024	0.000035830803	0	1.0892452	0.0032767458	0.00017028315	0.00037774877	0.03270502	0.0000143746065	0.0013336653	0.000013748292	0.0000022441623	0	0.0008521002	0.00047198875	0.0008139114	0.0000068390464	0	0.000002421041	0.00000086577415	0.000021675913	0.00009923331	0	0.00007140583
D3_bin.83	0.34834814	0.018365057	0.01780807	0.032144178	0.020358518	0.016194984	0.12814985	0.005969503	0.02044654	0.004237144	0.07113938	0.013245611	0.6246005	0.0018804865	0.030825783	0.0018511851	0.00067735167	0.00629654	0.0002873686	0.0077547575	0.0001975313	0.0032277894	0.00011101628	0.00054868875	0.01978688	0.00076084153	0.0025483274	0.00015232964	0.00302759	0.0050123455	0.00011488187	0.00014427582
D3_bin.84	0.0015019871	0.010381782	0.0001191711	0.00042765925	0.00013015422	0.0005000565	0.0012381303	0.0022615418	0.071274176	0.0048685707	0.0024133883	0.0028891207	0.00035251264	0.001453781	0.002446184	0.4609863	0.0016985132	0.00028959368	0.00024300774	0.0001532982	0.0013849533	0.0008779752	0.0028229854	0.0010724221	0.00021371958	0.00035694285	0.014871819	0.00018958292	0.00033120997	0.0009664102	0.0001125245	0.0005653542
D3_bin.86	1.3721261	9.339116	0.018314268	0.047992505	0.06556721	0.017158076	0.2368845	0.34255323	0.094720714	0.06463445	0.00081671687	0.2844841	0.034087963	0.020872114	11.187728	0.0009351436	0.018604323	0.004992586	0.00011036287	0.01312075	0.00011204597	0.01192899	0.00019618032	0.00027723124	0.00017051082	0.00022409382	0.00004138567	0.00015501132	0.021198954	0.00057892106	0.02164594	0.00017135032
