key,value,acc
size_fraction_sam,>0.2,ERR2497741
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691850
size_fraction_upper_threshold_sam,>,ERR4691850
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599161
size_fraction_upper_threshold_sam,3,ERR599161
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691723
size_fraction_upper_threshold_sam,20,ERR4691723
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR594326
size_fraction_upper_threshold_sam,0.45,ERR594326
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868463
size_fraction_upper_threshold_sam,5,ERR868463
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599326
size_fraction_upper_threshold_sam,180,ERR599326
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868388
size_fraction_upper_threshold_sam,5,ERR868388
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726902
size_fraction_upper_threshold_sam,180,ERR1726902
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691790
size_fraction_upper_threshold_sam,180,ERR4691790
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594387
size_fraction_upper_threshold_sam,0.22,ERR594387
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691808
size_fraction_upper_threshold_sam,5,ERR4691808
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726623
size_fraction_upper_threshold_sam,2000,ERR1726623
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599339
size_fraction_upper_threshold_sam,0.22,ERR599339
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691655
size_fraction_upper_threshold_sam,180,ERR4691655
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691610
size_fraction_upper_threshold_sam,180,ERR4691610
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691617
size_fraction_upper_threshold_sam,20,ERR4691617
size_fraction_sam,0.22-2.7 micrometer,ERR3256948
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562618
size_fraction_upper_threshold_sam,5,ERR562618
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562619
size_fraction_upper_threshold_sam,5,ERR562619
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879729
size_fraction_upper_threshold_sam,>,ERR1879729
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562565
size_fraction_upper_threshold_sam,>,ERR562565
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227168
size_fraction_upper_threshold_sam,>,ERR4227168
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879735
size_fraction_upper_threshold_sam,>,ERR1879735
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756041
size_fraction_upper_threshold_sam,2000,ERR1756041
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756164
size_fraction_upper_threshold_sam,5,ERR1756164
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562397
size_fraction_upper_threshold_sam,180,ERR562397
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227221
size_fraction_upper_threshold_sam,>,ERR4227221
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879692
size_fraction_upper_threshold_sam,>,ERR1879692
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227179
size_fraction_upper_threshold_sam,>,ERR4227179
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518694
size_fraction_upper_threshold_sam,20,ERR3518694
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1700895
size_fraction_upper_threshold_sam,20,ERR1700895
size_frac_sam,0-0.45 micrometer,SRR9161499
size_frac_sam,0-0.45 micrometer,SRR9161530
size_fraction_lower_threshold_sam_s_dpl49,20,ERR2098385
size_fraction_upper_threshold_sam,>20,ERR2098385
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2098404
size_fraction_upper_threshold_sam,20,ERR2098404
filter_fraction__um__sam,0.22 â?? 3,SRR2053287
size_fraction_lower_threshold_sam_s_dpl49,100KD,ERR3995347
size_fraction_upper_threshold_sam,0.22,ERR3995347
size_fraction_sam,>2.7µm,SRR8062326
size_fraction_sam,>2.7µm,SRR8062321
size_fraction_lower_threshold_sam_s_dpl49,0.025,ERR2002402
size_fraction_sam,1.6-0.2um,SRR8075962
size_fraction_sam,>0.2,ERR2497734
size_frac_sam,5?m,ERR4402062
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599346
size_fraction_upper_threshold_sam,0.22,ERR599346
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599130
size_fraction_upper_threshold_sam,1.6,ERR599130
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726652
size_fraction_upper_threshold_sam,2000,ERR1726652
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594352
size_fraction_upper_threshold_sam,0.22,ERR594352
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691775
size_fraction_upper_threshold_sam,2000,ERR4691775
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726866
size_fraction_upper_threshold_sam,5,ERR1726866
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726842
size_fraction_upper_threshold_sam,>,ERR1726842
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726674
size_fraction_upper_threshold_sam,2000,ERR1726674
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599353
size_fraction_upper_threshold_sam,0.22,ERR599353
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599348
size_fraction_upper_threshold_sam,0.22,ERR599348
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691774
size_fraction_upper_threshold_sam,2000,ERR4691774
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868471
size_fraction_upper_threshold_sam,20,ERR868471
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691719
size_fraction_upper_threshold_sam,20,ERR4691719
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726741
size_fraction_upper_threshold_sam,2000,ERR1726741
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598946
size_fraction_upper_threshold_sam,3,ERR598946
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599138
size_fraction_upper_threshold_sam,1.6,ERR599138
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868453
size_fraction_upper_threshold_sam,3,ERR868453
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599236
size_fraction_upper_threshold_sam,>,ERR599236
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726824
size_fraction_upper_threshold_sam,2000,ERR1726824
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598972
size_fraction_upper_threshold_sam,3,ERR598972
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726706
size_fraction_upper_threshold_sam,180,ERR1726706
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726874
size_fraction_upper_threshold_sam,180,ERR1726874
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868355
size_fraction_upper_threshold_sam,20,ERR868355
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726670
size_fraction_upper_threshold_sam,180,ERR1726670
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691599
size_fraction_upper_threshold_sam,20,ERR4691599
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691692
size_fraction_upper_threshold_sam,>,ERR4691692
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674666
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674666
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674708
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674708
size_fraction_sam,0-0.22 micrometer,ERR3256960
size_fraction_sam,>2.7µm,SRR3735226
sample_protocol__size_fraction_lower_threshold_sam,<,ERR4176084
sample_protocol__size_fraction_upper_threshold_sam,>,ERR4176084
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093674
size_fraction_upper_threshold_sam,3,ERR6093674
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562387
size_fraction_upper_threshold_sam,2000,ERR562387
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093667
size_fraction_upper_threshold_sam,3,ERR6093667
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR654519
size_fraction_upper_threshold_sam,20,ERR654519
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756050
size_fraction_upper_threshold_sam,5,ERR1756050
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879752
size_fraction_upper_threshold_sam,>,ERR1879752
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755968
size_fraction_upper_threshold_sam,5,ERR1755968
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093629
size_fraction_upper_threshold_sam,3,ERR6093629
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756137
size_fraction_upper_threshold_sam,2000,ERR1756137
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756163
size_fraction_upper_threshold_sam,5,ERR1756163
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756132
size_fraction_upper_threshold_sam,5,ERR1756132
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562601
size_fraction_upper_threshold_sam,20,ERR562601
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756228
size_fraction_upper_threshold_sam,5,ERR1756228
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755952
size_fraction_upper_threshold_sam,180,ERR1755952
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518803
size_fraction_upper_threshold_sam,180,ERR3518803
filter_fraction_sam,3-20um,SRR13827117
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR873969
size_fraction_upper_threshold_sam,5,ERR873969
size_frac_sam,0-0.45 micrometer,SRR9161586
size_frac_sam,0-0.45 micrometer,SRR9161543
size_frac_sam,0-0.45 micrometer,SRR9161581
size_frac_sam,0-0.45 micrometer,SRR9161571
size_fraction_lower_threshold_sam_s_dpl49,20,ERR538189
size_fraction_upper_threshold_sam,180,ERR538189
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR315856
size_fraction_upper_threshold_sam,1.6,ERR315856
size_frac_sam,> 0.7 um,SRR12347137
size_fraction_lower_threshold_sam_s_dpl49,20,ERR2196983
size_fraction_upper_threshold_sam,>20,ERR2196983
filter_fraction__um__sam,0.22 â?? 3,SRR2053307
filter_fraction__um__sam,0.22 â?? 3,SRR2053283
filter_fraction__um__sam,0.22 â?? 3,SRR2053281
size_frac_sam,NA,SRR14874046
size_fraction_sam,>2.7µm,SRR8062351
size_fraction_sam,2.5-1.6um,SRR8075981
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR318619
size_fraction_upper_threshold_sam,1.6,ERR318619
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599296
size_fraction_upper_threshold_sam,180,ERR599296
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691773
size_fraction_upper_threshold_sam,>,ERR4691773
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599029
size_fraction_upper_threshold_sam,3,ERR599029
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868421
size_fraction_upper_threshold_sam,5,ERR868421
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599152
size_fraction_upper_threshold_sam,3,ERR599152
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599116
size_fraction_upper_threshold_sam,1.6,ERR599116
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726774
size_fraction_upper_threshold_sam,2000,ERR1726774
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868399
size_fraction_upper_threshold_sam,20,ERR868399
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691749
size_fraction_upper_threshold_sam,180,ERR4691749
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868501
size_fraction_upper_threshold_sam,5,ERR868501
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868450
size_fraction_upper_threshold_sam,5,ERR868450
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691859
size_fraction_upper_threshold_sam,180,ERR4691859
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691794
size_fraction_upper_threshold_sam,2000,ERR4691794
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691748
size_fraction_upper_threshold_sam,5,ERR4691748
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726863
size_fraction_upper_threshold_sam,>,ERR1726863
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868448
size_fraction_upper_threshold_sam,5,ERR868448
size_fraction_lower_threshold_sam_s_dpl49,0.45,ERR594296
size_fraction_upper_threshold_sam,0.8,ERR594296
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868489
size_fraction_upper_threshold_sam,5,ERR868489
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726715
size_fraction_upper_threshold_sam,20,ERR1726715
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2752156
size_fraction_upper_threshold_sam,0.22,ERR2752156
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868432
size_fraction_upper_threshold_sam,5,ERR868432
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726641
size_fraction_upper_threshold_sam,180,ERR1726641
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726937
size_fraction_upper_threshold_sam,180,ERR1726937
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599246
size_fraction_upper_threshold_sam,3,ERR599246
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599167
size_fraction_upper_threshold_sam,1.6,ERR599167
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726975
size_fraction_upper_threshold_sam,5,ERR1726975
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726823
size_fraction_upper_threshold_sam,2000,ERR1726823
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726772
size_fraction_upper_threshold_sam,20,ERR1726772
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599115
size_fraction_upper_threshold_sam,3,ERR599115
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762107
size_fraction_upper_threshold_sam,0.22,ERR2762107
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691598
size_fraction_upper_threshold_sam,20,ERR4691598
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691665
size_fraction_upper_threshold_sam,180,ERR4691665
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762121
size_fraction_upper_threshold_sam,0.22,ERR2762121
sample_size_fraction_lower_threshold_sam,0.22,ERR4674165
sample_size_fraction_upper_threshold_sam,no prefiltration,ERR4674165
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562656
size_fraction_upper_threshold_sam,20,ERR562656
size_fraction_sam,0.2-2.7µm,SRR3735287
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562649
size_fraction_upper_threshold_sam,2000,ERR562649
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227174
size_fraction_upper_threshold_sam,>,ERR4227174
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879739
size_fraction_upper_threshold_sam,3,ERR1879739
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756298
size_fraction_upper_threshold_sam,2000,ERR1756298
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756089
size_fraction_upper_threshold_sam,2000,ERR1756089
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879889
size_fraction_upper_threshold_sam,>,ERR1879889
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756220
size_fraction_upper_threshold_sam,5,ERR1756220
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562405
size_fraction_upper_threshold_sam,5,ERR562405
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562502
size_fraction_upper_threshold_sam,180,ERR562502
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756159
size_fraction_upper_threshold_sam,180,ERR1756159
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562714
size_fraction_upper_threshold_sam,2000,ERR562714
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879749
size_fraction_upper_threshold_sam,>,ERR1879749
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755874
size_fraction_upper_threshold_sam,5,ERR1755874
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879943
size_fraction_upper_threshold_sam,20,ERR1879943
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879818
size_fraction_upper_threshold_sam,>,ERR1879818
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562377
size_fraction_upper_threshold_sam,180,ERR562377
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879882
size_fraction_upper_threshold_sam,3,ERR1879882
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1756289
size_fraction_upper_threshold_sam,20,ERR1756289
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518686
size_fraction_upper_threshold_sam,20,ERR3518686
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518762
size_fraction_upper_threshold_sam,180,ERR3518762
size_fraction_lower_threshold_sam_s_dpl49,5,ERR599222
size_fraction_upper_threshold_sam,20,ERR599222
size_frac_sam,0-0.45 micrometer,SRR9161597
size_frac_sam,0-0.45 micrometer,SRR9161596
size_fraction_lower_threshold_sam_s_dpl49,20,ERR538171
size_fraction_upper_threshold_sam,180,ERR538171
filter_fraction__um__sam,0.22 â?? 3,SRR2053286
size_frac_sam,NA,SRR14874054
size_frac_sam,NA,SRR14874048
size_frac_sam,0.02-0.22 micrometer,SRR9159692
size_fraction_lower_threshold_sam_s_dpl49,100KD,ERR3727643
size_fraction_upper_threshold_sam,0.22,ERR3727643
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR4013358
size_fraction_upper_threshold_sam,2.7,ERR4013358
size_fraction_sam,>0.45,SRR12874346
size_fraction_sam,0.2-2.7µm,SRR8062338
size_fraction_lower_threshold_sam_s_dpl49,0.2,ERR2002413
size_fraction_lower_threshold_sam_s_dpl49,0.025,ERR2002392
size_fraction_lower_threshold_sam_s_dpl49,0.025,ERR2002420
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002428
size_fraction_sam,1.6-0.2um,SRR8075969
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599008
size_fraction_upper_threshold_sam,3,ERR599008
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726535
size_fraction_upper_threshold_sam,20,ERR1726535
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726896
size_fraction_upper_threshold_sam,20,ERR1726896
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1726940
size_fraction_upper_threshold_sam,>,ERR1726940
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599132
size_fraction_upper_threshold_sam,3,ERR599132
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726599
size_fraction_upper_threshold_sam,180,ERR1726599
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR588857
size_fraction_upper_threshold_sam,3,ERR588857
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599143
size_fraction_upper_threshold_sam,1.6,ERR599143
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726870
size_fraction_upper_threshold_sam,180,ERR1726870
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691793
size_fraction_upper_threshold_sam,180,ERR4691793
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726913
size_fraction_upper_threshold_sam,>,ERR1726913
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868497
size_fraction_upper_threshold_sam,5,ERR868497
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599251
size_fraction_upper_threshold_sam,5,ERR599251
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599274
size_fraction_upper_threshold_sam,5,ERR599274
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726964
size_fraction_upper_threshold_sam,180,ERR1726964
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598985
size_fraction_upper_threshold_sam,3,ERR598985
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726656
size_fraction_upper_threshold_sam,>,ERR1726656
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726647
size_fraction_upper_threshold_sam,180,ERR1726647
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691832
size_fraction_upper_threshold_sam,2000,ERR4691832
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726817
size_fraction_upper_threshold_sam,>,ERR1726817
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691608
size_fraction_upper_threshold_sam,20,ERR4691608
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762115
size_fraction_upper_threshold_sam,0.22,ERR2762115
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762140
size_fraction_upper_threshold_sam,0.22,ERR2762140
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762171
size_fraction_upper_threshold_sam,0.22,ERR2762171
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762169
size_fraction_upper_threshold_sam,0.22,ERR2762169
size_fraction_sam,0-0.22 micrometer,ERR3256977
size_frac_sam,0.2-0.02,SRR11932625
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562493
size_fraction_upper_threshold_sam,2000,ERR562493
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562423
size_fraction_upper_threshold_sam,180,ERR562423
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756278
size_fraction_upper_threshold_sam,2000,ERR1756278
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879665
size_fraction_upper_threshold_sam,>,ERR1879665
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755928
size_fraction_upper_threshold_sam,20,ERR1755928
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756115
size_fraction_upper_threshold_sam,5,ERR1756115
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756203
size_fraction_upper_threshold_sam,5,ERR1756203
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562661
size_fraction_upper_threshold_sam,20,ERR562661
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756304
size_fraction_upper_threshold_sam,5,ERR1756304
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227213
size_fraction_upper_threshold_sam,>,ERR4227213
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755978
size_fraction_upper_threshold_sam,5,ERR1755978
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756002
size_fraction_upper_threshold_sam,5,ERR1756002
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756365
size_fraction_upper_threshold_sam,5,ERR1756365
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093677
size_fraction_upper_threshold_sam,3,ERR6093677
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755993
size_fraction_upper_threshold_sam,2000,ERR1755993
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562701
size_fraction_upper_threshold_sam,2000,ERR562701
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562450
size_fraction_upper_threshold_sam,180,ERR562450
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093679
size_fraction_upper_threshold_sam,3,ERR6093679
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879897
size_fraction_upper_threshold_sam,>,ERR1879897
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223612
size_fraction_upper_threshold_sam,>,ERR4223612
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090727
size_fraction_upper_threshold_sam,3,ERR6090727
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090726
size_fraction_upper_threshold_sam,3,ERR6090726
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518764
size_fraction_upper_threshold_sam,20,ERR3518764
sample_protocol__size_fraction_lower_threshold_sam,2,ERR4010261
sample_protocol__size_fraction_upper_threshold_sam,20,ERR4010261
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1700896
size_fraction_upper_threshold_sam,20,ERR1700896
size_fraction_lower_threshold_sam_s_dpl49,180,ERR599214
size_fraction_upper_threshold_sam,2000,ERR599214
size_frac_sam,0-0.45 micrometer,SRR9161550
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855285
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098399
size_fraction_upper_threshold_sam,3,ERR2098399
size_frac_sam,NA,SRR14874074
size_frac_sam,0.02-0.22 micrometer,SRR9159689
size_frac_sam,0.22-5.0 micrometer,SRR17470368
size_frac_sam,5?m,ERR4399084
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726765
size_fraction_upper_threshold_sam,2000,ERR1726765
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599072
size_fraction_upper_threshold_sam,3,ERR599072
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726610
size_fraction_upper_threshold_sam,180,ERR1726610
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726839
size_fraction_upper_threshold_sam,2000,ERR1726839
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599089
size_fraction_upper_threshold_sam,3,ERR599089
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868462
size_fraction_upper_threshold_sam,5,ERR868462
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599040
size_fraction_upper_threshold_sam,3,ERR599040
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594414
size_fraction_upper_threshold_sam,0.22,ERR594414
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726743
size_fraction_upper_threshold_sam,180,ERR1726743
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726744
size_fraction_upper_threshold_sam,180,ERR1726744
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868404
size_fraction_upper_threshold_sam,5,ERR868404
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691809
size_fraction_upper_threshold_sam,20,ERR4691809
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594407
size_fraction_upper_threshold_sam,0.22,ERR594407
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691678
size_fraction_upper_threshold_sam,180,ERR4691678
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691697
size_fraction_upper_threshold_sam,2000,ERR4691697
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762120
size_fraction_upper_threshold_sam,0.22,ERR2762120
sample_size_fraction_lower_threshold_sam,0.22,ERR4674044
sample_size_fraction_upper_threshold_sam,No prefiltration,ERR4674044
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674717
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674717
size_fraction_sam,0.22-2.7 micrometer,ERR3256946
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227252
size_fraction_upper_threshold_sam,>,ERR4227252
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756319
size_fraction_upper_threshold_sam,180,ERR1756319
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756181
size_fraction_upper_threshold_sam,180,ERR1756181
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562650
size_fraction_upper_threshold_sam,2000,ERR562650
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227207
size_fraction_upper_threshold_sam,>,ERR4227207
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093673
size_fraction_upper_threshold_sam,3,ERR6093673
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562590
size_fraction_upper_threshold_sam,>,ERR562590
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090693
size_fraction_upper_threshold_sam,1.6,ERR6090693
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562523
size_fraction_upper_threshold_sam,2000,ERR562523
