key,value,acc
size_fraction_upper_threshold_sam,3,ERR1879676
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1756276
size_fraction_upper_threshold_sam,20,ERR1756276
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223623
size_fraction_upper_threshold_sam,>,ERR4223623
size_fraction_lower_threshold_sam_s_dpl49,180,ERR3518776
size_fraction_upper_threshold_sam,2000,ERR3518776
filter_fraction_sam,0.22-3um,SRR13827126
size_frac_sam,0-0.45 micrometer,SRR9161562
size_frac_sam,0-0.45 micrometer,SRR9161513
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855264
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002407
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098374
size_fraction_upper_threshold_sam,>0.22,ERR2098374
filter_fraction__um__sam,0.22 â?? 3,SRR2053303
size_frac_sam,NA,SRR14874043
size_frac_sam,0.22-5.0 micrometer,SRR17470378
size_fraction_sam,1.6-0.2um,SRR8075992
size_fraction_sam,>0.2,ERR2497732
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599136
size_fraction_upper_threshold_sam,3,ERR599136
size_fraction_lower_threshold_sam_s_dpl49,0.1,ERR594328
size_fraction_upper_threshold_sam,0.22,ERR594328
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594375
size_fraction_upper_threshold_sam,0.22,ERR594375
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726574
size_fraction_upper_threshold_sam,2000,ERR1726574
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726569
size_fraction_upper_threshold_sam,>,ERR1726569
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598982
size_fraction_upper_threshold_sam,3,ERR598982
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594384
size_fraction_upper_threshold_sam,0.22,ERR594384
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599155
size_fraction_upper_threshold_sam,1.6,ERR599155
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726592
size_fraction_upper_threshold_sam,180,ERR1726592
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691763
