Genome	KRGM_100_5gb_M Relative Abundance (%)	KRGM_91_5gb_M Relative Abundance (%)	KRGM_92_5gb_M Relative Abundance (%)	KRGM_93_5gb_M Relative Abundance (%)	KRGM_94_5gb_M Relative Abundance (%)	KRGM_95_5gb_M Relative Abundance (%)	KRGM_96_5gb_M Relative Abundance (%)	KRGM_97_5gb_M Relative Abundance (%)	KRGM_98_5gb_M Relative Abundance (%)	KRGM_99_5gb_M Relative Abundance (%)
5_gb_bin.19	0.0009755646	0.46001416	0.0009774253	0.0011940559	0.0012597174	0.0007105682	0.0025018302	0.007557116	0.01490533	0.007798663
5_gb_bin.1	0.043286864	0.13734889	0.0000027283945	0.0027387303	0.1566895	0.10209728	0.3708131	0.0010688581	0.07906902	0.011837574
5_gb_bin.200	0.005529096	0.16516374	0.0040446073	0.0019397432	0.012995706	0.004760231	0.0011623071	0.1038694	0.005801352	0.10643164
5_gb_bin.201	0.0014297441	0.035844848	0.000034235367	0.034968257	0.006228451	0.00017095823	0.012865152	0.40677047	0.043677364	0.1810136
5_gb_bin.20	0.04779659	0.17652911	0.0864532	0.044495117	0.042610858	0.17133671	0.0710037	0.1422011	0.06052826	0.046048902
5_gb_bin.21	0.06518256	0.9313978	0.019166458	0.0048651155	0.0015244357	0.0060667978	0.05501119	0.11135693	0.025500525	0.15974592
5_gb_bin.22	0.045493215	0.1437245	4.766053	0.3706052	0.29556113	0.77022266	0.010873777	1.8814659	0.40901542	0.58144975
5_gb_bin.23	0.71164304	0.35272858	0.0002972014	0.31493053	1.6785147	0.00016026454	0.40549177	0.03211231	0.06933854	0.010538397
5_gb_bin.24	0.04176547	0.5809229	0.016814364	0.008733579	0.008601074	0.001774108	0.0060539036	0.0028861964	0.011818288	0.0015842401
5_gb_bin.25	0.093856424	0.00953467	0.00007246008	0.0003519377	0.34242442	0	0.000046985708	0.04704329	0.0013852561	0.40052122
5_gb_bin.26	0.04160363	0.09456914	0.015561128	0.086105496	0.43389374	0.15464643	0.017418057	0.26599008	0.027595446	0.08776558
5_gb_bin.27	0.09139278	0.050851285	0.084218584	0.017053124	0.030486865	0.16895586	0.0049576573	0.01553287	0.07547525	0.03564909
5_gb_bin.28	0.004885379	0.105201006	0.043381613	0.0065345555	0.022171125	0.075430125	0.03066863	0.058533356	0.027254917	0.049281303
5_gb_bin.29	0.036968574	0.00044169795	0.000010093432	0.0077839796	0.002075143	0.00019131486	0.014682988	0.024367249	0.10209407	0.07205605
5_gb_bin.2	0.023971446	0.5299199	0.019327028	3.081968	0.023846837	0.024813047	0.12452215	0.04903571	0.015650956	0.016828554
5_gb_bin.30	0.0887659	0.02754628	0.55559576	1.5140568	0.004184443	0.06778861	0.07609605	0.41202438	5.3872533	0.0026657565
5_gb_bin.31	0.063791536	0.24663298	0.19053067	0.17606758	0.07868824	0.27366474	0.43096092	0.39064988	0.11319476	0.23709667
5_gb_bin.32	0.96822417	0.00007149021	0.00005756404	0.0006802952	0.000047500536	0.00023077449	0.00011435687	0.0006206637	0.00020433395	0.0000074193017
5_gb_bin.33	0.07824508	0.1061012	0.27934977	0.2586091	0.052877076	0.3196004	0.071652465	0.0047565866	0.017051304	0.0022833522
5_gb_bin.34	0.01747014	0.052606273	0.36515066	0.004437324	0.0024873302	0.0051872116	0.13411888	0.07446116	0.038675517	0.0048603197
