sample	taxonomy	base_contribution
G3_P301_M_1	g__Bulleidia	2769452.0878205993
G3_P301_M_1	g__CALUZH01	595034.3225849082
G3_P301_M_1	g__NSJ-61	16129706.547230858
G3_P301_M_1	g__Clostridium_AQ	12535499.490572302
G3_P301_M_1	g__Amedibacterium	6938619.541689733
G3_P301_M_1	g__Anaerorhabdus	2525075.1138590495
G3_P301_M_1	g__RQZE01	3616563.0500000003
G3_P301_M_1	g__UBA9076	811478.20516415
G3_P301_M_1	g__Fimiplasma	17361115.2
G3_P301_M_1	g__Longibaculum	4505158.6102172565
G3_P301_M_1	g__MGBC163490	4492279.173408461
G3_P301_M_1	g__Vagococcus	3286093.2170832683
G3_P301_M_1	g__CALUXS01	1875046.3988717713
G3_P301_M_1	g__Peribacillus	1906071.6756919997
G3_P301_M_1	g__Psychrobacillus	621330.1327460001
G3_P301_M_1	g__Mycoplasma_L	919634.35527125
G3_P301_M_1	g__Phascolarctobacterium_A	24853858.88490266
G3_P301_M_1	g__JAHHSR01	943219.4710299997
G3_P301_M_1	g__Fusobacterium_B	65392419.34745701
G3_P301_M_1	g__Cetobacterium_A	10311028.093899999
G3_P301_M_1	g__Fusobacterium_A	7783754.017897001
G3_P301_M_1	g__Cetobacterium	3066352.56502784
G3_P301_M_1	s__Phocaeicola sp015060765	210572928.49222878
G3_P301_M_1	s__Phocaeicola sp902388365	288744840.9712306
G3_P301_M_1	s__UBA4372 sp017548165	17104279.64741581
G3_P301_M_1	s__Alloprevotella sp900541335	120570109.3842202
G3_P301_M_1	s__Alloprevotella sp945828345	17189670.092543155
G3_P301_M_1	s__Alloprevotella sp000437675	18194371.939642254
G3_P301_M_1	s__Mediterranea sp905201685	26316158.42863202
G3_P301_M_1	s__Limisoma sp900541935	37866913.00721243
G3_P301_M_1	s__Sutterella sp905186105	46801416.44651662
G3_P301_M_1	s__Sutterella wadsworthensis_A	4252049.088792028
G3_P301_M_1	s__Sutterella sp020025915	10261960.777754487
G3_P301_M_1	s__Aphodousia sp019418235	4580456.694481665
G3_P301_M_1	s__Aphodousia sp905206345	1586051.2491221367
G3_P301_M_1	s__Klebsiella variicola	5349682.259514533
G3_P301_M_1	s__Citrobacter braakii	3546734.837491303
G3_P301_M_1	s__Morganella morganii_B	12552532.141082961
G3_P301_M_1	s__Morganella morganii	50664365.287224
G3_P301_M_1	s__Providencia alcalifaciens	8293545.6877379995
G3_P301_M_1	s__Providencia rettgeri	11208614.224493364
G3_P301_M_1	s__Proteus cibarius	13512844.954128442
G3_P301_M_1	s__Escherichia fergusonii	75360902.19298247
G3_P301_M_1	s__Escherichia coli	122025295.12568
G3_P301_M_1	s__Escherichia sp005843885	60537909.88158027
G3_P301_M_1	s__Plesiomonas shigelloides	6067876.063326
G3_P301_M_1	s__Slackia_A piriformis	5745895.59939302
G3_P301_M_1	s__Slackia_A faecicanis	1489627.5708017591
G3_P301_M_1	s__Arthrobacter_B koreensis	5574613.13
G3_P301_M_1	s__UMGS1590 sp900759105	2474385.811548558
G3_P301_M_1	s__UMGS1590 sp900553245	5936254.687782954
G3_P301_M_1	s__Peptacetobacter hiranonis	65647228.31417607
G3_P301_M_1	s__Peptacetobacter sp900539645	41744144.304300345
G3_P301_M_1	s__Paraclostridium sordellii	37750821.71462474
G3_P301_M_1	s__Muricomes fissicatena_A	3838576.784201465
G3_P301_M_1	s__Eisenbergiella sp900539715	1613760.848168376
G3_P301_M_1	s__Faecalimonas sp900556835	23539208.296611495
G3_P301_M_1	s__Faecalimonas phoceensis	75218706.35373677
G3_P301_M_1	s__Schaedlerella sp900066545	2995503.7043761658
G3_P301_M_1	s__Schaedlerella sp905203555	3067466.5634936187
G3_P301_M_1	s__Schaedlerella sp900765975	5633701.635866395
G3_P301_M_1	s__Blautia sp000432195	17743330.575968225
G3_P301_M_1	s__Blautia sp900556555	24792952.260052517
G3_P301_M_1	s__Blautia sp900753905	19801564.68152386
G3_P301_M_1	s__Clostridium_Q sp000435655	2460945.5049150973
G3_P301_M_1	s__Copromonas sp000435795	15297493.460630557
G3_P301_M_1	s__Blautia_A sp019416265	29194491.468452543
G3_P301_M_1	s__Agathobaculum desmolans	1347442.3332
G3_P301_M_1	s__Butyricicoccus sp018383195	10694090.102880001
G3_P301_M_1	s__RGIG3102 sp017505635	5600033.843439058
G3_P301_M_1	s__Negativibacillus sp900547015	19477233.403150897
G3_P301_M_1	s__Avimicrobium sp934845495	2179862.9409196307
G3_P301_M_1	s__Clostridium thermobutyricum	2136776.42046
G3_P301_M_1	s__Sarcina perfringens	51123483.8825644
G3_P301_M_1	s__Longicatena sp020025055	2916133.441196781
G3_P301_M_1	s__Faecalitalea cylindroides	2384426.9583148197
G3_P301_M_1	s__MGBC163490 sp910588075	1378210.9099430225
G3_P301_M_1	s__MGBC163490 sp021768625	1506111.4350887632
G3_P301_M_1	s__Lactococcus petauri	1442286.5932800001
G3_P301_M_1	s__Vagococcus martis	6968430.5600000005
G3_P301_M_1	s__Vagococcus sp024637875	2043038.65
G3_P301_M_1	s__Vagococcus bubulae	5273605.342736054
G3_P301_M_1	s__Vagococcus sp003462485	1951375.29
G3_P301_M_1	s__Phascolarctobacterium_A sp900547415	22290598.275867373
G3_P301_M_1	s__Phascolarctobacterium_A sp900552855	2839909.3294070773
G3_P301_M_1	s__Fusobacterium_B sp019416865	11679148.141857997
G3_P301_M_1	s__Fusobacterium_B sp900541465	36871877.2276478
G3_P301_M_1	s__Fusobacterium_B sp900542625	9558480.078713585
G3_P301_M_1	s__Fusobacterium_B sp900554355	9375285.62719399
G3_P301_M_1	s__Fusobacterium_B sp900554885	57437937.9242272
G3_P301_M_1	s__Cetobacterium_A somerae	568594432.35595
G3_P301_M_1	s__Fusobacterium_A sp900543175	42555447.26970977
G3_P301_M_1	s__Fusobacterium_A sp900555845	32373457.803477995
G3_P301_M_1	s__Fusobacterium_A sp900015295	20798549.76697
