run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10028505,-2.07392,102.81531,2.07392,13.28143166,8.655670166,64,206.9999847,128.1138967,197.4230016,4.517925644,198603,26.29966688,Asia,Asia,Indonesia: Jambi,8314.98,13.02149708,9956.56,5.32595396,46.09970093,2895,14.29995537,54.27410507,455.1448873
SRR10028506,-2.05046312,102.753405,2.05046312,10.79047883,8.655670166,50,206.9999847,130.6222865,211.1148783,4.563353221,198563,26.36733325,Asia,Asia,Indonesia: Jambi,797.012,9.638457636,1771.16,5.32595396,46.09970093,2920,14.29995537,54.27410507,714.350118
SRR10028507,-1.981972,102.75075,1.981972,11.46800794,5.347829819,75,206.9999847,143.1820755,226.5726573,4.599292119,198511,26.13833364,Asia,Asia,Indonesia: Jambi,2098.29,11.03499837,2832.79,16.89335632,90.34279633,2867,14.29995537,54.27410507,629.4916382
SRR10028508,-1.995139,102.75225,1.995139,11.83113699,5.347829819,75,206.9999847,144.2765961,230.2080994,4.555794907,198511,26.13833364,Asia,Asia,Indonesia: Jambi,2263.03,11.14403999,3643.57,16.89335632,90.34279633,2867,14.29995537,54.27410507,584.1594645
SRR10127265,20.686,-101.875,20.686,12.90576493,30.0515995,1731,,283.2866211,181.2352041,7.221159871,221844,18.99833353,North America,North America,Mexico: Penjamo,2515.2,11.29645741,7674.01,4.528644085,136.0930023,679,,,139.1427155
SRR10127268,21.053,-103.902,21.053,13.7486258,20.03980064,941,867.7362061,241.0619049,230.5663147,6.393967819,222622,25.08400011,North America,North America,"Mexico: Amatitan\, Jalisco",3157.87,11.62473607,13764.13,5.90544796,118.3440018,852,62.89599228,215.2164307,222.0450745
SRR10159347,28.21,116.93,28.21,10.9048679,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,1153.43,10.17171474,1917.31,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159348,28.21,116.93,28.21,10.79719136,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,1021.71,9.996770048,1779.42,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159349,28.21,116.93,28.21,10.8776369,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,1115.8,10.12386274,1881.46,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159350,28.21,116.93,28.21,10.54026368,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,887.167,9.793061892,1489.14,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159351,28.21,116.93,28.21,10.77783063,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,1097.84,10.10045209,1755.7,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159352,28.21,116.93,28.21,10.25092606,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,847.885,9.727724793,1218.53,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159353,28.21,116.93,28.21,10.4708622,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,809.671,9.661191995,1419.2,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159354,28.21,116.93,28.21,10.949834,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,1062.75,10.05358654,1978.01,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10159355,28.21,116.93,28.21,10.67999902,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,795.895,9.636434303,1640.59,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
