0Run,Latitude,Longitude,ABS_latit,log2sum_RPKM,salinity,phosphate,density,nitrate,Depth,oxygen_sensor,temperature,O2sat,conductivity,AOU,silicate,Present.Surface.Calcite.Mean.BOv2_2,Present.Surface.Chlorophyll.Mean,Present.Surface.Iron.Mean,Present.Surface.Par.Mean.BOv2_2,Present.Surface.pH.BOv2_2,Present.Surface.Phytoplankton.Mean,Present.Surface.Primary.productivity.Mean,geo_loc_name4,geo_loc_name5,log2_RPKM_16S,sum-RPKM
ERR599120,-25.8051,-111.7202,25.8051,10.8910014,36.402683,0.15434365,24.7719593,0.069538303,5,200.538167,25.14875,100.9158325,5.287964344,-1.923746943,0.723947585,0.000131,0.021166,5.00E-06,42.11399841,8.208000183,0.345425,0.000105,Pacific,Pacific,10.19204618,1898.97
ERR599121,-62.2231,-49.2139,62.2231,10.49668404,34.319478,2.013636112,28.09433556,29.87424469,90,325.402987,-0.78154,82.71087646,2.743003607,62.89405441,77.0967865,0.000157,0.345517,0.000124,24.42099953,8.175000191,1.410953,0.00213,Atlantic,Southern Ocean,9.765816495,1444.83
ERR599122,-47.2007,-57.9446,47.2007,10.90555248,34.057594,1.169265747,26.8558712,15.05279255,40,306.211529,6.975635,100.9576416,3.442750216,-1.280476928,5.003791332,0.000278,0.335392,6.70E-05,32.79299927,8.175999641,1.782851,0.005566,Atlantic,Atlantic,9.844650848,1918.22
ERR599123,31.6948,-64.2489,31.6948,10.87943775,36.5996,0.092169642,24.97843361,0.118783981,5,212.5623,20.3973,102.6262207,5.393187046,-5.062680721,0.801867485,7.40E-05,0.178554,0.000466,38.22600174,8.213999748,1.041954,0.003935,Atlantic,Atlantic,10.08914589,1883.81
ERR599126,-20.9354,-35.1803,20.9354,11.36552414,37.101367,0.12930876,24.70938683,0.719529212,5,206.194333,23.349542,102.0394821,5.708307743,-4.105674744,1.858931065,6.20E-05,0.037236,9.10E-05,43.31200027,8.128000259,0.578648,0.000438,Atlantic,Atlantic,10.15127029,2638.54
ERR599129,-31.0266,4.665,31.0266,11.91662592,35.68685,0.249812171,25.57322693,0.095560275,5,231.914833,16.832058,102.660408,4.794332504,-4.728702545,3.16288352,8.60E-05,0.169226,1.10E-05,39.66600037,8.194999695,1.406417,0.003776,Atlantic,Atlantic,10.67201864,3866
ERR599130,5.9998,73.9067,5.9998,9.645172049,35.103505,0.887798369,24.05591011,10.77313137,80,132.77885,27.723425,57.03879929,5.349656582,92.21850586,11.42742634,8.30E-05,0.073477,0.000524,45.4070015,8.18500042,0.905046,0.002235,Indian,Indian,9.160564773,800.73
ERR599133,-8.7296,-17.9604,8.7296,10.19343912,36.603343,0.498413682,25.86953545,4.297520161,100,194.428431,24.112672,83.65522766,5.143681049,41.51386642,2.257144928,6.20E-05,0.046767,0.000106,48.89300156,8.197999954,0.691228,0.000771,Atlantic,Atlantic,9.950204475,1170.93
ERR599134,21.9467,38.2517,21.9467,11.84575661,38.937417,0.12728031,25.55051231,0.094071008,5,182.812167,27.329517,100.593483,6.228288174,-0.765945137,1.716127872,7.60E-05,0.074953,0.001453,46.20000076,8.138999939,0.954669,0.002525,Indian,Indian,10.08856301,3680.68
ERR599135,-20.4091,-3.1759,20.4091,11.54970767,36.376225,0.238641128,25.28174019,0.208056048,5,215.650833,19.776808,101.0930557,5.128956318,-2.515437841,1.170029044,8.10E-05,0.094734,0.000397,41.92900085,8.197999954,0.771628,0.001761,Atlantic,Atlantic,10.63802857,2997.84
ERR599136,25.5264,-88.394,25.5264,10.86305569,36.193733,0.118049823,23.72739601,0.988155425,5,194.2675,24.96555,102.189003,5.648307323,-3.971590281,1.751603127,9.60E-05,0.04123,0.000893,41.54800034,8.130999565,0.414851,0.000432,Pacific,Pacific,9.890922385,1862.54
ERR599137,-8.7296,-17.9604,8.7296,10.55184282,36.603343,0.498413682,25.86953545,4.297520161,100,194.428431,24.112672,83.65522766,5.143681049,41.51386642,2.257144928,6.20E-05,0.046767,0.000106,48.89300156,8.197999954,0.691228,0.000771,Atlantic,Atlantic,10.32972908,1501.14
ERR599138,-9.3921,66.4228,9.3921,11.46336089,34.1689,0.217085496,22.26612854,0.315967828,5,187.2575,29.818233,100.7445755,5.592360973,-1.50434649,4.001572132,7.60E-05,0.109296,1.90E-05,45.87400055,8.236000061,1.090923,0.003224,Indian,Indian,9.502091873,2823.68
ERR599139,-16.957,53.9801,16.957,9.470150435,34.566667,0.184188783,22.83436394,0.162200987,5,191.68,27.8684,102.1471252,5.502626419,-3.436221838,3.322420835,6.20E-05,0.065289,6.30E-05,45.96500015,8.251000404,0.774251,0.001322,Indian,Indian,9.685060616,709.25
ERR599140,35.759,14.2574,35.759,10.47750532,37.89245,0.065220878,26.85934258,0.793779552,5,207.791417,21.4395,100.9644547,5.214118958,-1.539087176,1.752075076,8.30E-05,0.057036,0.001914,39.25299835,8.213000298,0.671935,0.000643,Atlantic,Atlantic,10.38910428,1425.75
