sample	coverage	taxonomy
Novel_genomes_no_reference_R1	3.52	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8190; g__Aciditerrimonas; s__Aciditerrimonas ferrireducens
Novel_genomes_no_reference_R1	3.18	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01; g__Iamia; s__Iamia sp019443745
Novel_genomes_no_reference_R1	3.07	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Anaerotardibacter; s__Anaerotardibacter muris
Novel_genomes_no_reference_R1	2.55	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9; g__RHKX01; s__RHKX01 sp020636895
Novel_genomes_no_reference_R1	2.56	Root; d__Bacteria; p__Acidobacteriota; c__HRBIN11; o__MFGW01; f__MFGW01; g__MFGW01; s__MFGW01 sp001780385
Novel_genomes_no_reference_R1	2.27	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__Aridibacter; s__Aridibacter famidurans
Novel_genomes_no_reference_R1	2.55	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Sulfomarinibacteraceae; g__JAIOSJ01; s__JAIOSJ01 sp021107705
Novel_genomes_no_reference_R1	2.96	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae_L; g__Ferdinandcohnia; s__Ferdinandcohnia aciditolerans
Novel_genomes_no_reference_R1	1.88	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-18226; g__Pseudoneobacillus; s__Pseudoneobacillus rhizosphaerae
Novel_genomes_no_reference_R1	2.55	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae; g__Tannockella; s__Tannockella kyphosi
