sample	coverage	taxonomy
Novel_genomes_placement_ani_R1	3.02	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__Aridibacter; s__Aridibacter famidurans
Novel_genomes_placement_ani_R1	2.67	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Coleofasciculaceae; g__Caldora; s__Caldora sp010672185
Novel_genomes_placement_ani_R1	2.61	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae_A; g__Microseira; s__Microseira wollei
Novel_genomes_placement_ani_R1	3.13	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae_A; g__Argonema; s__Argonema galeatum
Novel_genomes_placement_ani_R1	2.22	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Komarekiella; s__Komarekiella atlantica
Novel_genomes_placement_ani_R1	2.16	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae; g__Timaviella; s__Timaviella obliquedivisa
Novel_genomes_placement_ani_R1	2.9	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae; g__Elainella; s__Elainella bostrychoides
Novel_genomes_placement_ani_R1	3.3	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae; g__Drouetiella; s__Drouetiella hepatica
Novel_genomes_placement_ani_R1	3.41	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Gloeomargaritales; f__Gloeomargaritaceae; g__Gloeomargarita; s__Gloeomargarita sp927797885
Novel_genomes_placement_ani_R1	3.58	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Thermosynechococcales; f__Thermosynechococcaceae; g__JAAURS01; s__JAAURS01 sp022402525
Novel_genomes_placement_ani_R1	2.84	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__FACHB-46; f__FACHB-46; g__Trichocoleus; s__Trichocoleus desertorum
Novel_genomes_placement_ani_R1	3.2	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Halomarinibacterium; s__Halomarinibacterium sedimenti
Novel_genomes_placement_ani_R1	2.1	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aestuariivivens; s__Aestuariivivens marinum
Novel_genomes_placement_ani_R1	2.43	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Sabulilitoribacter; s__Sabulilitoribacter multivorans
Novel_genomes_placement_ani_R1	3.2	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquaticitalea; s__Aquaticitalea sp023156585
Novel_genomes_placement_ani_R1	3.13	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Lutimonas; s__Lutimonas saemankumensis
Novel_genomes_placement_ani_R1	3.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Ohtaekwangia; s__Ohtaekwangia sp021190955
Novel_genomes_placement_ani_R1	3.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__JAJNNC01; s__JAJNNC01 sp021730635
Novel_genomes_placement_ani_R1	0.74	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Spirosoma; s__Spirosoma sp022702045
Novel_genomes_placement_ani_R1	1.66	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Avibacteroides; s__Avibacteroides avistercoris
Novel_genomes_placement_ani_R1	2.56	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfocapsaceae; g__UBA2270; s__UBA2270 sp019429465
