latitude,longitude,smf
43.62,116.71,77.84
30.04,104.03,78.42
49.32,117.67,85.67
44.3101,-85.896583,26.29
68.38,-149.43,61.91
31.11,-95.15,71.07
31.11,-95.15,68.03
43.27805,133.15603,60.91
-5.9305,145.0335833,54.32
-7.30579,147.1175,45.14
45.41,-73.25,74.34
9.14,-79.88,23.17
9.09,-79.65,15.89
8.94,-79.6,20.84
34.1843333333333,118.191166666667,71.99
28.052638,-81.393374,74.9
38.889095,-78.168896,69.17
-21.708519,-47.582469,60.45
-21.708519,-47.582469,69.01
45.68,-72.0,70.82
18.0,-65.0,66.13
37.4961,-122.1331,71.89
38.9228,-106.9541,56.87
57.1866,-2.2146,86.05
38.9365,-106.9428,58.91
45.54,-73.72,69.06
38.9827,-107.0102,50.11
18.0,-65.0,62.97
38.9354,-106.9424,59.99
37.83,-122.29,98.34
39.05,-99.1,65.59
40.4449,-87.0297,65.58
38.9206,-106.9489,82.74
18.0,-65.0,62.62
38.88,-120.64,66.42
38.9738,-120.4934,88.58
31.33,120.42,18.74
44.37,83.33,90.17
23.14,113.34,79.08
51.55,14.22,7.48
32.889,130.766,76.59
39.74,-123.63,80.12
71.26,-52.6,63.75
-38.22184031,175.97088911,74.05
70.998467,-156.521424,81.27
71.251608,-156.542146,74.76
-35.105875,139.274772,88.74
42.67255,-77.040283,67.93
58.0405,27.0525,64.51
59.376641,24.039891,66.12
-37.8136,144.9631,75.21
51.5,6.28,52.34
-33.917926,151.235347,70.23
39.5673,-123.4758,70.4
21.5416,-158.0875,83.42
29.88,-92.96,81.37
28.62027778,121.415,63.68
44.192783,-85.677217,34.81
44.346733,-85.481817,10.63
31.11,-95.15,63.81
8.53,-79.9,28.56
9.19,-79.76,25.08
9.08,-79.79,22.39
39.99,-105.37,66.23
19.81,-155.26,60.41
32.898843,-87.446128,69.09
40.4651,-103.03191,80.44
28.07191,-81.42066,70.25
31.99,34.82,67.15
39.0,116.0,80.33
-77.65,163.116,79.26
45.68,-72.0,68.41
52.32,-121.92,66.55
42.471116,-72.17263,57.76
40.81667,-104.76667,64.98
39.05,-99.1,63.73
51.62,-128.09,64.73
38.9134,-106.8956,73.47
40.3809,-123.4135,70.96
33.8834,-83.4195,69.05
39.0352,-120.4422,89.36
39.5673,-123.4758,51.88
41.136,-111.9047,74.82
38.9871,-107.0011,57.73
38.88,-120.64,72.1
40.7999,-76.3402,82.94
28.15,116.55,21.28
44.39,83.33,83.19
44.37,83.33,90.06
23.621002,116.871869,91.0
45.683333,126.633333,81.68
22.29048333,109.76373055,67.4
-37.908647,145.139591,61.49
39.96,116.51,77.66
51.13547622,4.61028522,79.75
51.1353096,4.61158877,70.95
24.094878,121.034072,76.19
24.173609,121.299528,73.58
63.88306,-149.22556,59.19
42.67255,-77.040283,47.75
38.886306,-120.647694,75.58
44.677,-90.177,38.02
59.3834,24.04384,63.97
57.6288,22.2878,62.3
58.411706,25.288736,66.87
57.75965,27.47665,67.22
59.331037,23.927206,67.98
58.27872,27.32624,62.62
59.344267,23.919376,66.9
58.73243,26.52714,63.52
36.92195,-2.51109,56.37
-33.840172,151.058803,48.7
39.7393,-123.6309,79.45
43.0,-92.5,70.89
53.4,16.3,69.8
31.11,-95.15,65.7
-9.43501,147.37553,50.51
-0.05881,114.00517,48.15
38.535556,-121.772778,16.7
9.08,-79.79,22.55
9.0,-79.57,28.73
64.85,-147.84,63.23
-77.0276,161.216,81.32
38.9223,-106.9536,52.65
39.53,-107.78,73.04
38.9362,-106.9425,59.08
37.4965,-122.1329,79.62
51.62,-128.09,62.98
39.534762,-107.782602,85.78
39.070856,-96.582821,59.96
41.9002,-89.352,76.08
57.1866,-2.2146,85.16
45.654,-122.839,75.0
51.62,-128.09,64.66
44.20517707,-122.1284473,67.86
31.11,-95.15,69.02
42.532967,-72.209488,65.81
41.9002,-89.352,78.25
38.9206,-106.9489,81.89
37.83,-122.29,84.7
38.88,-120.64,64.08
38.883,-106.9108,43.52
38.9223,-106.9536,62.93
63.0472,21.7116,53.25
37.4962,-122.1329,78.57
37.4961,-122.1331,79.72
31.41,121.67,77.77
39.66,115.82,73.81
39.91,116.41,81.42
23.14,113.34,79.61
8.5,76.7,32.79
39.74,-123.63,81.24
39.96,116.52,79.51
68.623403,-149.584545,77.71
63.88306,-149.22556,43.9
43.93333,-71.75,64.16
38.886306,-120.647694,75.4
67.90334,18.606574,83.29
67.904687,18.610965,82.47
44.677,-90.177,42.81
44.677,-90.177,29.65
36.92195,-2.51109,75.23
58.490829,26.780575,66.63
58.89269,23.68405,62.14
57.908082,26.273912,63.25
59.331037,23.927206,66.52
59.3969,24.7292,65.49
58.156944,26.281944,70.42
58.32669,21.89557,55.32
59.067551,24.478428,60.05
-37.8136,144.9631,72.73
21.5416,-158.0875,78.68
39.06,-96.36,59.06
22.48,113.57,79.79
23.21189,102.38253,78.8
-12.37,130.867,61.44
35.897,-98.275,61.33
-25.351,131.0423,77.87
-25.351,131.041,79.09
38.535556,-121.772778,48.89
38.535556,-121.772778,30.96
9.19,-79.82,22.35
42.4,-85.4,61.39
34.1843333333333,118.191166666667,74.24
-21.708519,-47.582469,62.82
-77.0157,161.405,72.12
52.32,-121.92,68.11
52.32,-121.92,65.64
46.42,-83.37,57.67
38.9354,-106.9424,60.96
40.4449,-87.0297,68.12
9.1086,-79.8436,62.06
39.7291,-123.6419,67.64
38.9866,-107.0007,51.36
37.83,-122.29,100.0
39.7181,-123.6527,69.13
40.4449,-87.0297,64.55
38.9205,-106.9513,58.71
39.0042816,-77.1012173,62.49
40.7999,-76.3402,85.04
46.73,-117.18,99.23
28.15,116.55,38.25
23.14,113.34,77.38
23.14,113.34,77.4
21.49548333,109.76373055,65.63
45.683333,126.633333,82.86
46.49,9.93,78.8
-34.255,138.318,70.45
44.677,-90.177,42.09
58.27948,25.58374,61.91
58.08112,26.34164,57.43
58.959347,24.300177,61.06
58.458611,26.719139,65.77
59.307023,26.45794,62.36
58.31679,25.49964,62.8
51.5,6.28,51.88
50.8,8.812,43.29
39.7393,-123.6309,75.7
21.618669,69.865737,43.04
28.68,121.43,82.86
48.04444,133.46556,77.82
33.62,102.87,70.48
37.76,119.15,75.46
47.5079,-93.4523,65.99
44.3101,-85.896583,30.84
50.88,-120.35,60.47
38.88,-120.64,72.35
31.11,-95.15,67.89
43.37804,132.9514,55.73
4.573,-52.190583,59.71
-0.3919,-72.0461,52.95
-7.30364,147.13239,53.16
-7.30364,147.13239,52.43
45.41,-73.25,65.07
-25.3504,131.0516,79.03
38.535556,-121.772778,61.17
38.535556,-121.772778,31.37
1.42,103.7,85.26
9.15,-79.85,18.58
9.16,-79.75,19.85
9.0,-79.57,18.81
34.1843333333333,118.191166666667,74.28
28.05265,-81.39357,66.68
51.82,11.7,70.26
38.88,-120.64,68.25
18.0,-65.0,70.02
18.0,-65.0,62.85
38.99297339,-123.0674491,78.46
45.54,-73.72,72.66
37.9013,-109.5337,63.63
38.7866,-120.4291,81.88
26.6591,-80.6279,80.07
39.23550963,-121.2836963,69.16
45.2639,-110.8632,84.32
40.4449,-87.0297,67.83
42.550409,-72.180244,68.98
44.39,83.33,86.85
23.14,113.34,75.1
37.3,118.62,68.27
37.3,118.62,67.57
